Id,Offset,Name,TipMessage,Comment,NameByCN,NameByEN,NameByVI
50,22549,轴1_定位气缸1原位报警,,,轴1_定位气缸1原位报警,Axis 1_Positioning Cylinder 1In situ Alarm,Feeding Axis Z2_Ch?a cho phép ho?t ??ng
51,22550,轴1_定位气缸1工作位报警,,,轴1_定位气缸1工作位报警,Axis 1_Positioning Cylinder 1Working Position Alarm,Feeding Axis Z2_L?i l?nh
52,22551,轴1_定位气缸1原点安全条件触发异常,,,轴1_定位气缸1原点安全条件触发异常,Axis 1_Positioning Cylinder 1Origin Safety Condition Triggered Abnormal,Feeding Axis Z2_Gi?i h?n d??ng
53,22552,轴1_定位气缸1工作位安全条件触发异常,,,轴1_定位气缸1工作位安全条件触发异常,Axis 1_Positioning Cylinder 1Working Position Safety Condition Triggered Abnormal,Feeding Axis Z2_Gi?i h?n am
54,22553,轴1_定位气缸1手自动联锁中,,,轴1_定位气缸1手自动联锁中,Axis 1_Positioning Cylinder 1Manual Automatic Interlocking,Feeding Axis Z2_C?nh báo ?i?u ki?n an toàn JOG
55,22554,轴1_定位气缸2原位报警,,,轴1_定位气缸2原位报警,Axis 1_Positioning Cylinder 2In situ Alarm,Feeding Axis Z2_C?nh báo ?i?u ki?n an toàn PTP
56,22555,轴1_定位气缸2工作位报警,,,轴1_定位气缸2工作位报警,Axis 1_Positioning Cylinder 2Working Position Alarm,Feeding Axis Z2_Kh?ng ??ng b? tay-t? ??ng
57,22556,轴1_定位气缸2原点安全条件触发异常,,,轴1_定位气缸2原点安全条件触发异常,Axis 1_Positioning Cylinder 2Origin Safety Condition Trigger Exception,Feeding Axis R2_Ch?a cho phép ho?t ??ng
58,22557,轴1_定位气缸2工作位安全条件触发异常,,,轴1_定位气缸2工作位安全条件触发异常,Axis 1_Positioning Cylinder 2Abnormal Safety Condition Triggered in Working Position,Feeding Axis R2_L?i l?nh
59,22558,轴1_定位气缸2手自动联锁中,,,轴1_定位气缸2手自动联锁中,Axis 1_Positioning Cylinder 2Manual Automatic Interlocking,Feeding Axis R2_Gi?i h?n d??ng
60,22559,轴1_定位气缸3原位报警,,,轴1_定位气缸3原位报警,Axis 1_Positioning Cylinder 3In situ Alarm,Feeding Axis R2_Gi?i h?n am
61,22560,轴1_定位气缸3工作位报警,,,轴1_定位气缸3工作位报警,Axis 1_Positioning Cylinder 3Working Position Alarm,Feeding Axis R2_C?nh báo ?i?u ki?n an toàn JOG
62,22561,轴1_定位气缸3原点安全条件触发异常,,,轴1_定位气缸3原点安全条件触发异常,Axis 1_Positioning Cylinder 3Origin Safety Condition Trigger Exception,Feeding Axis R2_C?nh báo ?i?u ki?n an toàn PTP
63,22562,轴1_定位气缸3工作位安全条件触发异常,,,轴1_定位气缸3工作位安全条件触发异常,Axis 1_Positioning Cylinder 3Working Position Safety Condition Triggered Abnormal,Feeding Axis R2_Kh?ng ??ng b? tay-t? ??ng
64,22563,轴1_定位气缸3手自动联锁中,,,轴1_定位气缸3手自动联锁中,Axis 1_Positioning Cylinder 3Hand Automatic Interlocking,Feeding Axis Z3_Ch?a cho phép ho?t ??ng
65,22564,轴2_定位气缸1原位报警,,,轴2_定位气缸1原位报警,Axis 2Positioning Cylinder 1In situ Alarm,Feeding Axis Z3_L?i l?nh
66,22565,轴2_定位气缸1工作位报警,,,轴2_定位气缸1工作位报警,Axis 2Positioning Cylinder 1Working Position Alarm,Feeding Axis Z3_Gi?i h?n d??ng
67,22566,轴2_定位气缸1原点安全条件触发异常,,,轴2_定位气缸1原点安全条件触发异常,Axis 2Positioning Cylinder 1Origin Safety Condition Triggered Abnormal,Feeding Axis Z3_Gi?i h?n am
68,22567,轴2_定位气缸1工作位安全条件触发异常,,,轴2_定位气缸1工作位安全条件触发异常,Axis 2Positioning Cylinder 1Working Position Safety Condition Triggered Abnormal,Feeding Axis Z3_C?nh báo ?i?u ki?n an toàn JOG
69,22568,轴2_定位气缸1手自动联锁中,,,轴2_定位气缸1手自动联锁中,Axis 2Positioning Cylinder 1Hand Automatic Interlocking,Feeding Axis Z3_C?nh báo ?i?u ki?n an toàn PTP
70,22569,轴2_定位气缸2原位报警,,,轴2_定位气缸2原位报警,Axis 2Positioning Cylinder 2In situ Alarm,Feeding Axis Z3_Kh?ng ??ng b? tay-t? ??ng
71,22570,轴2_定位气缸2工作位报警,,,轴2_定位气缸2工作位报警,Axis 2Positioning Cylinder 2Working Position Alarm,Feeding Axis R3_Ch?a cho phép ho?t ??ng
72,22571,轴2_定位气缸2原点安全条件触发异常,,,轴2_定位气缸2原点安全条件触发异常,Axis 2Positioning Cylinder 2Origin Safety Condition Trigger Exception,Feeding Axis R3_L?i l?nh
73,22572,轴2_定位气缸2工作位安全条件触发异常,,,轴2_定位气缸2工作位安全条件触发异常,Axis 2Positioning Cylinder 2Working Position Safety Condition Triggered Abnormal,Feeding Axis R3_Gi?i h?n d??ng
74,22573,轴2_定位气缸2手自动联锁中,,,轴2_定位气缸2手自动联锁中,Axis 2Positioning Cylinder 2Manual Automatic Interlocking,Feeding Axis R3_Gi?i h?n am
75,22574,轴2_定位气缸3原位报警,,,轴2_定位气缸3原位报警,Axis 2Positioning Cylinder 3In situ Alarm,Feeding Axis R3_C?nh báo ?i?u ki?n an toàn JOG
76,22575,轴2_定位气缸3工作位报警,,,轴2_定位气缸3工作位报警,Axis 2Positioning Cylinder 3Working Position Alarm,Feeding Axis R3_C?nh báo ?i?u ki?n an toàn PTP
77,22576,轴2_定位气缸3原点安全条件触发异常,,,轴2_定位气缸3原点安全条件触发异常,Axis 2Positioning Cylinder 3Origin Safety Condition Trigger Exception,Feeding Axis R3_Kh?ng ??ng b? tay-t? ??ng
78,22577,轴2_定位气缸3工作位安全条件触发异常,,,轴2_定位气缸3工作位安全条件触发异常,Axis 2Positioning Cylinder 3Working Position Safety Condition Triggered Abnormal,Feeding Axis Z4_Ch?a cho phép ho?t ??ng
79,22578,轴2_定位气缸3手自动联锁中,,,轴2_定位气缸3手自动联锁中,Axis 2Positioning Cylinder 3Hand Automatic Interlocking,Feeding Axis Z4_L?i l?nh
80,22579,取标签伸出气缸原位报警,,,取标签伸出气缸原位报警,Label extension cylinder  insitu alarm,Feeding Axis Z4_Gi?i h?n d??ng
81,22580,取标签伸出气缸工作位报警,,,取标签伸出气缸工作位报警,Label extension cylinder  working position alarm,Feeding Axis Z4_Gi?i h?n am
82,22581,取标签伸出气缸原点安全条件触发异常,,,取标签伸出气缸原点安全条件触发异常,Tag extension cylinder  Origin safety condition triggered exception,Feeding Axis Z4_C?nh báo ?i?u ki?n an toàn JOG
83,22582,取标签伸出气缸工作位安全条件触发异常,,,取标签伸出气缸工作位安全条件触发异常,Tag extension cylinder  Work position safety condition triggers abnormality,Feeding Axis Z4_C?nh báo ?i?u ki?n an toàn PTP
84,22583,取标签伸出气缸手自动联锁中,,,取标签伸出气缸手自动联锁中,Label extension cylinder  manual automatic interlock,Feeding Axis Z4_Kh?ng ??ng b? tay-t? ??ng
85,22584,取标签升降气缸原位报警,,,取标签升降气缸原位报警,Label lifting cylinder  insitu alarm,Feeding Axis R4_Ch?a cho phép ho?t ??ng
86,22585,取标签升降气缸工作位报警,,,取标签升降气缸工作位报警,Label lifting cylinder  working position alarm,Feeding Axis R4_L?i l?nh
87,22586,取标签升降气缸原点安全条件触发异常,,,取标签升降气缸原点安全条件触发异常,Tag lifting cylinder  Origin safety condition triggered exception,Feeding Axis R4_Gi?i h?n d??ng
88,22587,取标签升降气缸工作位安全条件触发异常,,,取标签升降气缸工作位安全条件触发异常,Tag lifting cylinder  Work position safety condition triggered exception,Feeding Axis R4_Gi?i h?n am
89,22588,取标签升降气缸手自动联锁中,,,取标签升降气缸手自动联锁中,Label lifting cylinder  manual automatic interlock,Feeding Axis R4_C?nh báo ?i?u ki?n an toàn JOG
90,22589,贴膜定位气缸原位报警,,,贴膜定位气缸原位报警,Film positioning cylinder  insitu alarm,Feeding Axis R4_C?nh báo ?i?u ki?n an toàn PTP
91,22590,贴膜定位气缸工作位报警,,,贴膜定位气缸工作位报警,Film positioning cylinder  working position alarm,Feeding Axis R4_Kh?ng ??ng b? tay-t? ??ng
92,22591,贴膜定位气缸原点安全条件触发异常,,,贴膜定位气缸原点安全条件触发异常,Film positioning cylinder  origin safety condition triggers abnormality,Feeding Axis Z5_Ch?a cho phép ho?t ??ng
93,22592,贴膜定位气缸工作位安全条件触发异常,,,贴膜定位气缸工作位安全条件触发异常,Film positioning cylinder  abnormal triggering of safety conditions at the working position,Feeding Axis Z5_L?i l?nh
94,22593,贴膜定位气缸手自动联锁中,,,贴膜定位气缸手自动联锁中,Film positioning cylinder  manual automatic interlocking,Feeding Axis Z5_Gi?i h?n d??ng
95,22594,辊压膜气缸原位报警,,,辊压膜气缸原位报警,Roll pressure film cylinder  insitu alarm,Feeding Axis Z5_Gi?i h?n am
96,22595,辊压膜气缸工作位报警,,,辊压膜气缸工作位报警,Roll pressure film cylinder  working position alarm,Feeding Axis Z5_C?nh báo ?i?u ki?n an toàn JOG
97,22596,辊压膜气缸原点安全条件触发异常,,,辊压膜气缸原点安全条件触发异常,Roller pressure film cylinder  origin safety condition triggered abnormal,Feeding Axis Z5_C?nh báo ?i?u ki?n an toàn PTP
98,22597,辊压膜气缸工作位安全条件触发异常,,,辊压膜气缸工作位安全条件触发异常,Roller pressure film cylinder  abnormal triggering of working position safety conditions,Feeding Axis Z5_Kh?ng ??ng b? tay-t? ??ng
99,22598,辊压膜气缸手自动联锁中,,,辊压膜气缸手自动联锁中,Roller pressing film cylinder  manual automatic interlocking,Feeding Axis R5_Ch?a cho phép ho?t ??ng
100,22599,打印机固定气缸原位报警,,,打印机固定气缸原位报警,Printer fixed cylinder  insitu alarm,Feeding Axis R5_L?i l?nh
101,22600,打印机固定气缸工作位报警,,,打印机固定气缸工作位报警,Printer fixed cylinder  working position alarm,Feeding Axis R5_Gi?i h?n d??ng
102,22601,打印机固定气缸原点安全条件触发异常,,,打印机固定气缸原点安全条件触发异常,Printer fixed cylinder  origin safety condition triggered exception,Feeding Axis R5_Gi?i h?n am
103,22602,打印机固定气缸工作位安全条件触发异常,,,打印机固定气缸工作位安全条件触发异常,Printer fixed cylinder  Work position safety condition triggered exception,Feeding Axis R5_C?nh báo ?i?u ki?n an toàn JOG
104,22603,打印机固定气缸手自动联锁中,,,打印机固定气缸手自动联锁中,Printer fixed cylinder  manual automatic interlock,Feeding Axis R5_C?nh báo ?i?u ki?n an toàn PTP
105,22604,物料检测1_真空负压报警,,,物料检测1_真空负压报警,Material detection 1_Vacuum negative pressure alarm,Feeding Axis R5_Kh?ng ??ng b? tay-t? ??ng
106,22605,物料检测1_真空禁止破真空报警,,,物料检测1_真空禁止破真空报警,Material detection 1_Vacuum  No vacuum breaking alarm prompt,Feeding Axis Z6_Ch?a cho phép ho?t ??ng
107,22606,物料检测1_真空手自动联锁中,,,物料检测1_真空手自动联锁中,Material Testing 1_Vacuum Manual Automatic Interlocking,Feeding Axis Z6_L?i l?nh
108,22607,物料检测2_真空负压报警,,,物料检测2_真空负压报警,Material detection 2Vacuum negative pressure alarm,Feeding Axis Z6_Gi?i h?n d??ng
109,22608,物料检测2_真空禁止破真空报警,,,物料检测2_真空禁止破真空报警,Material detection 2Vacuum  No vacuum breaking alarm prompt,Feeding Axis Z6_Gi?i h?n am
110,22609,物料检测2_真空手自动联锁中,,,物料检测2_真空手自动联锁中,Material Testing 2Vacuum Hand Automatic Interlocking,Feeding Axis Z6_C?nh báo ?i?u ki?n an toàn JOG
111,22610,取料头_真空负压报警,,,取料头_真空负压报警,Material pickup head_ vacuum negative pressure alarm,Feeding Axis Z6_C?nh báo ?i?u ki?n an toàn PTP
112,22611,取料头_真空禁止破真空报警,,,取料头_真空禁止破真空报警,Material pickup head  Vacuum  No breaking vacuum alarm prompt,Feeding Axis Z6_Kh?ng ??ng b? tay-t? ??ng
113,22612,取料头_真空手自动联锁中,,,取料头_真空手自动联锁中,Material pickup head in vacuum manual automatic interlocking system,Feeding Axis R6_Ch?a cho phép ho?t ??ng
114,22613,接料台_真空负压报警,,,接料台_真空负压报警,Material receiving table _ Vacuum negative pressure alarm,Feeding Axis R6_L?i l?nh
115,22614,接料台_真空禁止破真空报警,,,接料台_真空禁止破真空报警,Material receiving table  Vacuum  No breaking vacuum alarm prompt,Feeding Axis R6_Gi?i h?n d??ng
116,22615,接料台_真空手自动联锁中,,,接料台_真空手自动联锁中,Material receiving table in vacuum manual automatic interlocking system,Feeding Axis R6_Gi?i h?n am
117,22616,急停按钮按下,,,急停按钮按下,Press the emergency stop button,Feeding Axis R6_C?nh báo ?i?u ki?n an toàn JOG
118,22617,打印机防撞报警,,,打印机防撞报警,Printer collision alarm,Feeding Axis R6_C?nh báo ?i?u ki?n an toàn PTP
119,22618,流线与放料工位防撞报警,,,流线与放料工位防撞报警,Flow line and discharge station collision alarm,Feeding Axis R6_Kh?ng ??ng b? tay-t? ??ng
120,22619,SM_1扫码失败报警,,,SM_1扫码失败报警,SM_1 scan code failure alarm,Feeding Axis Z7_Ch?a cho phép ho?t ??ng
121,22620,SM_2扫码失败报警,,,SM_2扫码失败报警,SM_2 scan code failure alarm,Feeding Axis Z7_L?i l?nh
122,22621,上料站1物料检测异常,,,上料站1物料检测异常,Abnormal material detection at loading station 1,Feeding Axis Z7_Gi?i h?n d??ng
123,22622,上料站2物料检测异常,,,上料站2物料检测异常,Abnormal material detection at loading station 2,Feeding Axis Z7_Gi?i h?n am
124,22623,与伸出气缸防撞,,,与伸出气缸防撞,Extend the cylinder to prevent collision,Feeding Axis Z7_C?nh báo ?i?u ki?n an toàn JOG
125,22624,总气源不足,,,总气源不足,Insufficient total gas source,Feeding Axis Z7_C?nh báo ?i?u ki?n an toàn PTP
126,22625,门禁开启中,,,门禁开启中,Access control is open,Feeding Axis Z7_Kh?ng ??ng b? tay-t? ??ng
127,22626,上位机连接失败,,,上位机连接失败,Failed to connect to the PC,Feeding Axis R7_Ch?a cho phép ho?t ??ng
128,22627,Y轴到打印机防撞位,,,Y轴到打印机防撞位,Yaxis to printer collision avoidance position,Feeding Axis R7_L?i l?nh
129,22628,工位1标签抛料失败,,,工位1标签抛料失败,Workstation 1 label throwing failed,Feeding Axis R7_Gi?i h?n d??ng
130,22629,工位1膜抛料失败,,,工位1膜抛料失败,Workstation 1 film throwing failed,Feeding Axis R7_Gi?i h?n am
131,22630,工位2标签抛料失败,,,工位2标签抛料失败,Workstation 2 label throwing failed,Feeding Axis R7_C?nh báo ?i?u ki?n an toàn JOG
132,22631,工位2膜抛料失败,,,工位2膜抛料失败,Workstation 2 film throwing failed,Feeding Axis R7_C?nh báo ?i?u ki?n an toàn PTP
133,22632,工位1下视觉拍标签1NG异常,,,工位1下视觉拍标签1NG异常,Workstation 1 Visual label 1 NG abnormality,Feeding Axis R7_Kh?ng ??ng b? tay-t? ??ng
134,22633,工位1上视觉拍飞达NG异常,,,工位1上视觉拍飞达NG异常,Workstation 1 Upper visual camera Feida NG abnormal,Tr?c 1_Xylanh ??nh v? 1-C?nh báo v? trí g?c
135,22634,工位1上视觉拍产品1NG异常,,,工位1上视觉拍产品1NG异常,Workstation 1 Upper visual camera product 1NG abnormality,Tr?c 1_Xylanh ??nh v? 1-C?nh báo v? trí làm vi?c
136,22635,工位1下视觉拍膜NG异常,,,工位1下视觉拍膜NG异常,Workstation 1 Abnormal visual film shooting NG,Tr?c 1_Xylanh ??nh v? 1-B?t th??ng kích ho?t ?i?u ki?n an toàn g?c
137,22636,工位1上视觉拍产品NG异常,,,工位1上视觉拍产品NG异常,Workstation 1 Abnormal NG of the product captured by the upper visual camera,Tr?c 1_Xylanh ??nh v? 1-B?t th??ng kích ho?t ?i?u ki?n an toàn v? trí làm vi?c
138,22637,工位2下视觉拍标签NG异常,,,工位2下视觉拍标签NG异常,Workstation 2 Visual label shooting  NG abnormality,Tr?c 1_Xylanh ??nh v? 1_?ang khóa liên ??ng tay-t? ??ng
139,22638,工位2上视觉拍飞达NG异常,,,工位2上视觉拍飞达NG异常,Workstation 2 Upper visual camera Feida NG abnormal,Tr?c 1_Xylanh ??nh v? 2-C?nh báo v? trí g?c
140,22639,工位2上视觉拍产品1NG异常,,,工位2上视觉拍产品1NG异常,Workstation 2 Upper Visual Photography Product 1NG Abnormal,Tr?c 1_Xylanh ??nh v? 2-C?nh báo v? trí làm vi?c
141,22640,工位2下视觉拍膜NG异常,,,工位2下视觉拍膜NG异常,Workstation 2 Abnormal visual film shooting NG,Tr?c 1_Xylanh ??nh v? 2-B?t th??ng kích ho?t ?i?u ki?n an toàn g?c
142,22641,工位2上视觉拍产品2NG异常,,,工位2上视觉拍产品2NG异常,Workstation 22NG abnormality in visual product shooting,Tr?c 1_Xylanh ??nh v? 2-B?t th??ng kích ho?t ?i?u ki?n an toàn v? trí làm vi?c
143,22642,工位1_标签首次复检NG,,,工位1_标签首次复检NG,Workstation 1_label first re inspection NG,Tr?c 1_Xylanh ??nh v? 2_?ang khóa liên ??ng tay-t? ??ng
144,22643,工位1_标签二次复检NG,,,工位1_标签二次复检NG,Workstation 1_label secondary re inspection NG,Tr?c 1_Xylanh ??nh v? 3-C?nh báo v? trí g?c
145,22644,工位2_标签首次复检NG,,,工位2_标签首次复检NG,The first re inspection of the label at workstation 2 is NG,Tr?c 1_Xylanh ??nh v? 3-C?nh báo v? trí làm vi?c
146,22645,工位2_标签二次复检NG,,,工位2_标签二次复检NG,Workstation 2: Secondary re inspection of label NG,Tr?c 1_Xylanh ??nh v? 3-B?t th??ng kích ho?t ?i?u ki?n an toàn g?c
147,22646,工位1_上视觉拍标签引导NG报警,,,工位1_上视觉拍标签引导NG报警,Workstation 1_ visual label guidance NG alarm,Tr?c 1_Xylanh ??nh v? 3-B?t th??ng kích ho?t ?i?u ki?n an toàn v? trí làm vi?c
148,22647,工位2_上视觉拍标签引导NG报警,,,工位2_上视觉拍标签引导NG报警,Workstation 2_ visual label guidance NG alarm,Tr?c 1_Xylanh ??nh v? 3_?ang khóa liên ??ng tay-t? ??ng
149,22648,上料1复检NG,,,上料1复检NG,Station 1 checks NG,Tr?c 2_Xylanh ??nh v? 1-C?nh báo v? trí g?c
150,22649,待定1,,,待定1,Station 1 checks NG,Tr?c 2_Xylanh ??nh v? 1-C?nh báo v? trí làm vi?c
151,22650,上料2复检NG,,,上料2复检NG,Station 2 checks NG,Tr?c 2_Xylanh ??nh v? 1-B?t th??ng kích ho?t ?i?u ki?n an toàn g?c
152,22651,待定2,,,待定2,Station 2 checks NG,Tr?c 2_Xylanh ??nh v? 1-B?t th??ng kích ho?t ?i?u ki?n an toàn v? trí làm vi?c
153,22652,工位1上视觉拍标签引导反馈超时,,,工位1上视觉拍标签引导反馈超时,Vision tag guidance feedback timeout on workstation 1,Tr?c 2_Xylanh ??nh v? 1_?ang khóa liên ??ng tay-t? ??ng
154,22653,工位1下视觉拍标签反馈超时,,,工位1下视觉拍标签反馈超时,Vision feedback for labeling at workstation 1 timed out,Tr?c 2_Xylanh ??nh v? 2-C?nh báo v? trí g?c
155,22654,工位1上视觉拍产品引导标签反馈超时,,,工位1上视觉拍产品引导标签反馈超时,Vision system on workstation 1 timed out while feeding back the product guide label,Tr?c 2_Xylanh ??nh v? 2-C?nh báo v? trí làm vi?c
156,22655,工位1上视觉标签复检1反馈超时,,,工位1上视觉标签复检1反馈超时,Vision label reinspection 1 feedback timeout on workstation 1,Tr?c 2_Xylanh ??nh v? 2-B?t th??ng kích ho?t ?i?u ki?n an toàn g?c
157,22656,工位1上视觉标签复检2反馈超时,,,工位1上视觉标签复检2反馈超时,Vision label reinspection 2 feedback timeout on workstation 1,Tr?c 2_Xylanh ??nh v? 2-B?t th??ng kích ho?t ?i?u ki?n an toàn v? trí làm vi?c
158,22657,工位1上视觉拍飞达膜引导取模反馈超时,,,工位1上视觉拍飞达膜引导取模反馈超时,Visual capture on workstation 1 for feeder film guidance to pick the mold timed out,Tr?c 2_Xylanh ??nh v? 2_?ang khóa liên ??ng tay-t? ??ng
159,22658,工位1下视觉拍膜反馈超时,,,工位1下视觉拍膜反馈超时,Vision coating feedback timeout at workstation 1,Tr?c 2_Xylanh ??nh v? 3-C?nh báo v? trí g?c
160,22659,工位1上视觉拍产品引导贴膜反馈超时,,,工位1上视觉拍产品引导贴膜反馈超时,Visual inspection on workstation 1 for product guidance film feedback timed out,Tr?c 2_Xylanh ??nh v? 3-C?nh báo v? trí làm vi?c
